Hotel Id,Hotel name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(08th Aug to 30th Sep,Season2(01st Oct to 24th Oct) ,Season3(25th Oct to 10th Nov),Season4(11th Nov to 19th Dec) ,Season5(20th Dec to 23rd Dec),Season6(24th Dec),Season7(25th Dec to 30th Dec),Season8(31st Dec),Season9(1st Jan to 10 Jan),website
HOTEL4820,Grand serana hotel & resort,"
 Near Auroville, 164/1, Puducherry - Tindivanam Road, Thiruchitrambalam, Puducherry, 605111,Phone: 0413 226 6950",43,4STAR,Deluxe\Daffodil Villas\Marigold Grand Villa,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,www.grandserenaa.com
HOTEL4821,Atithi Pondi hotel,"No 126, SV Patel Salai, Puducherry, 605001, Phone:0413 234 5000",43,3STAR,Superior Ac Room\Executive Ac Room\Business Suite Ac Room\Family Suite,600\600\600\600\600\600\600\600\600,600\600\600\600\600\600\600\600\600,1200\1200\1200\1200\4200\1200\5200\1200\1200,1200\1200\1200\1200\4200\1200\5200\1200\1200,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3160\4000\4950\4950\0\0\0\0\0,3160\4000\4950\4950\0\0\0\0\0,3160\4000\4950\4950\0\0\0\0\0,3160\4000\4950\4950\0\0\0\0\0,3160\4000\4950\4950\0\0\0\0\0,9160\10000\10950\10950\0\0\0\0\0,3160\4000\4950\4950\0\0\0\0\0,11160\12000\12950\12950\0\0\0\0\0,3160\4000\4950\4950\0\0\0\0\0,www.atithipondicherry.com
HOTEL4822,Hotel Annamalai international,"
 No. 479, Kamaraja Salai, Saram, Puducherry, 605013,Phone: 0413 224 7001",43,3STAR,Standard\Executive\King Suite\Annamalai Suite,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,www.hotelannamalai.com
HOTEL4823,Chariot beach resort,"
 Five Raths Road, Behind Five Raths Monument, Mahabalipuram, Tamil Nadu 603104,Phone: 044 2742 5000",15,5STAR,Deluxe\Deluxe Chariot Cottage,2000\2000\2000\2000\2000\2000\2000\2000\2000,2000\2000\2000\2000\2000\2000\2000\2000\2000,1818\1818\1818\1818\4968\1818\4968\1818\1818,1818\1818\1818\1818\4968\1818\4968\1818\1818,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,8706\10753\0\0\0\0\0\0\0,8706\10753\0\0\0\0\0\0\0,8706\10753\0\0\0\0\0\0\0,8706\10753\0\0\0\0\0\0\0,8706\10753\0\0\0\0\0\0\0,15006\17053\0\0\0\0\0\0\0,8706\10753\0\0\0\0\0\0\0,15006\17053\0\0\0\0\0\0\0,8706\10753\0\0\0\0\0\0\0,www.chariotbeachresorts.com
HOTEL4824,Hotel Mamalla heritage,"104, East Raja Street, Mahabalipuram, Tamil Nadu 603104.Phone:093801 26188",15,3STAR,Standard Ac Room\Deluxe Ac Room ,650\650\650\650\650\650\650\650\650,650\650\650\650\650\650\650\650\650,972\972\972\972\972\972\972\972\972,608\608\608\608\608\608\608\608\608,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2899\3122\0\0\0\0\0\0\0,2899\3122\0\0\0\0\0\0\0,2899\3122\0\0\0\0\0\0\0,2899\3122\0\0\0\0\0\0\0,3122\3345\0\0\0\0\0\0\0,3122\3345\0\0\0\0\0\0\0,3122\3345\0\0\0\0\0\0\0,3122\3345\0\0\0\0\0\0\0,2899\3122\0\0\0\0\0\0\0,www.hotelmamallaheritage.com
HOTEL4825,Ramakrishna Hotel,"
Othavadai St, Mahabalipuram, Tamil Nadu 603104,Phone: 044 2744 2331",15,3STAR,Standard\Deluxe,150\150\150\150\150\150\150\150\150,150\150\150\150\150\150\150\150\150,700\700\700\700\700\700\700\700\700,350\350\350\350\350\350\350\350\350,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1300\1800\2300\0\0\0\0\0\0,1300\1800\2300\0\0\0\0\0\0,1300\1800\2300\0\0\0\0\0\0,1300\1800\2300\0\0\0\0\0\0,1300\1800\2300\0\0\0\0\0\0,1300\1800\2300\0\0\0\0\0\0,2000\2500\0\0\0\0\0\0\0,2000\2500\0\0\0\0\0\0\0,1300\1800\2300\0\0\0\0\0\0,www.hotelramakrishna.com
HOTEL4827,Marasa sarovar premiere hotel," Upadyaya Nagar,Karakambadi Road, Tirupati, Andhra Pradesh 517507, Phone:076600 06563",80,3STAR,Deluxe,600\600\600\600\600\600\600\600\600,700\700\700\700\700\700\700\700\700,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,ww.sarovarhotels.com/tirupati-hotels/marasa-sarovar-premiere
HOTEL4829,Kandy plr hotel,"Chittoor, Andhra Pradesh 517505, Phone:0877 227 6686",80,2STAR,Standard Ac Room\Club Ac Room\Suite Room ,250\250\250\250\250\250\250\250\250,250\250\250\250\250\250\250\250\250,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,www.kandyplrhotels.com
HOTEL4832,Hotel Aparna,"No. 7, Polur Road, Sriram Nagar, Tiruvannamalai, Tamil Nadu 606601, Phone:04175 254 755",31,3STAR,Superior Ac Room \Executive Ac Room\Junior Suite Ac Room \Suite Ac Room,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,972\972\972\972\972\972\972\972\972,972\972\972\972\972\972\972\972\972,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3490\4487\5484\6481\0\0\0\0\0,3490\4487\5484\6481\0\0\0\0\0,3789\4786\5484\6481\0\0\0\0\0,3789\4786\5484\6481\0\0\0\0\0,3789\4786\5484\6481\0\0\0\0\0,3789\4786\5484\6481\0\0\0\0\0,3789\4786\5484\6481\0\0\0\0\0,3789\4786\5484\6481\0\0\0\0\0,3789\4786\5484\6481\0\0\0\0\0,www.arpanaahotels.com
HOTEL4834,Sara regency,"5/1, Chennai Road, Kumbakonam, Tamil Nadu 612002, Phone:0435 244 2024",13,2STAR,Standard Ac Room\Deluxe Ac Room\Executive Ac Room ,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,480\480\480\480\480\480\480\480\480\480,480\480\480\480\480\480\480\480\480,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,sararegency.com
HOTEL4835,Quality inn Viha,"No. 2, New Railway Road, Kumbakonam, Tanjore, Tamil Nadu 612001, Phone:0435 255 555",13,3STAR,Superior Ac Room\Executive Suite Ac Room,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1000\1000\1000\1000\1000\1000\1000\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,www.qualityinnviha.com
HOTEL4836,Ramada Resort,"P V Sreedharan Road, Kumbalam, Cochin, Kerala 682506 Phone: 0484 301 1100",47,4STAR,Superior\Luxury\Luxury Lake View\Lake Facing Cottage\Junior Suite\Presidential Suite,975\975\975\975\975\975\975\975\975,975\975\975\975\975\975\975\975\975,1600\1600\1600\1600\1600\1600\1600\1600\1600,800\800\800\800\800\800\800\800\800,2500\2500\2500\2500\2500\2500\2500\2500\2500,5000\5000\5000\5000\5000\5000\5000\5000\5000,750\750\750\750\750\750\750\750\750,750\750\750\750\750\750\750\750\750,7250\7950\10785\10875\30300\60600\0\0\0,7250\7950\10785\10875\30300\60600\0\0\0,7250\7950\10785\10875\30300\60600\0\0\0,7250\7950\10785\10875\30300\60600\0\0\0,11000\12000\15000\15000\0\0\0\0\0,11000\12000\15000\15000\0\0\0\0\0,11000\12000\15000\15000\0\0\0\0\0,7250\7950\10785\10875\30300\60600\0\0\0,7250\7950\10785\10875\30300\60600\0\0\0,www.ramadacochin.com
HOTEL4837,Radisson Blu,"Sahodaran Ayyappan Rd, Elamkulam, Ernakulam, Kerala 682020 Phone: 0484 412 9999",47,4STAR,Superior\Business Class\Deluxe Suite\Club Suite\Executive Suite\Presidential Suite,800\800\800\800\800\800\800\800\800,800\800\800\800\800\800\800\800\800,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,3000\3000\3000\3000\3000\3000\3000\3000\3000,2000\2000\2000\2000\2000\2000\2000\2000\2000,500\500\500\500\500\500\500\500\500,750\750\750\750\750\750\750\750\750,4500\6500\7500\8500\17000\24000\0\0\0,4500\6500\7500\8500\17000\24000\0\0\0,4500\6500\7500\8500\17000\24000\0\0\0,4500\6500\7500\8500\17000\24000\0\0\0,4500\6500\7500\8500\17000\24000\0\0\0,4500\6500\7500\8500\17000\24000\0\0\0,4500\6500\7500\8500\17000\24000\0\0\0,4500\6500\7500\8500\17000\24000\0\0\0,4500\6500\7500\8500\17000\24000\0\0\0,www.radissonblu.com
HOTEL4838,Travancore Court," Warriam Road,, Pallimukku, Ernakulam, Kerala 682016 Phone:0484 235 1120",47,4STAR,Deluxe\Suite\Executive Suite,495\495\495\495\495\495\495\495\495,495\495\495\495\495\495\495\495\495,950\950\950\950\950\950\950\950\950,500\500\500\500\500\500\500\500\500,2500\2500\2500\2500\2500\2500\2500\2500\2500,3000\3000\3000\3000\3000\3000\3000\3000\3000,750\750\750\750\750\750\750\750\750,750\750\750\750\750\750\750\750\750,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,3300\5000\5500\0\0\0\0\0\0,www.travancorecourt.com
HOTEL4839,Abad Plaza,"Near Central square mall, Mahatma Gandhi Road, Cochin, Kerala 682035 Phone:0484 414 4000",47,3STAR,Superior\Suite,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,750\750\750\750\750\750\1750\750\750,250\250\250\250\250\250\1250\250\250,1000\1000\1000\1000\1000\1000\1000\1000\1000,250\250\250\250\250\250\250\250\250,750\750\750\750\750\750\750\750\750,500\500\500\500\500\500\500\500\500,3250\5000\0\0\0\0\0\0\0,3250\5000\0\0\0\0\0\0\0,3250\5000\0\0\0\0\0\0\0,3250\5000\0\0\0\0\0\0\0,3250\5000\0\0\0\0\0\0\0,3250\5000\0\0\0\0\0\0\0,3250\5000\0\0\0\0\0\0\0,5250\7000\0\0\0\0\0\0\0,3250\5000\0\0\0\0\0\0\0,www.abadhotels.com
HOTEL4840,Abad Atrium,"Mahatma Gandhi Rd, Near Central square mall, Ernakulam, Kerala 682035 Phone:0484 414 4000",47,3STAR,Superior\Suite,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,750\750\750\750\750\750\1750\750\750,250\250\250\250\250\250\1250\250\250,1000\1000\1000\1000\1000\1000\1000\1000\1000,250\250\250\250\250\250\250\250\250,750\750\750\750\750\750\750\750\750,500\500\500\500\500\500\500\500\500,3250\5000\0\0\0\0\0\0\0,3250\5000\0\0\0\0\0\0\0,3250\5000\0\0\0\0\0\0\0,3250\5000\0\0\0\0\0\0\0,3250\5000\0\0\0\0\0\0\0,3250\5000\0\0\0\0\0\0\0,3250\5000\0\0\0\0\0\0\0,5250\7000\0\0\0\0\0\0\0,3250\5000\0\0\0\0\0\0\0,www.abadhotels.com
HOTEL4841,Hotel Elite Palazzo," NH47, Angamaly, Kerala 683572 Phone:0484 245 2191",47,3STAR,Deluxe\Executive\Suite,375\375\375\375\375\375\375\375\375,375\375\375\375\375\375\375\375\375,800\800\800\800\800\800\800\800\800,400\400\400\400\400\400\400\400\400,1800\1800\1800\1800\1800\1800\1800\1800\1800,1200\1200\1200\1200\1200\1200\1200\1200\1200,600\600\600\600\600\600\600\600\600,500\500\500\500\500\500\500\500\500,2200\3000\4000\0\0\0\0\0\0,2200\3000\4000\0\0\0\0\0\0,2200\3000\4000\0\0\0\0\0\0,2200\3000\4000\0\0\0\0\0\0,2200\3000\4000\0\0\0\0\0\0,2200\3000\4000\0\0\0\0\0\0,2200\3000\4000\0\0\0\0\0\0,2200\3000\4000\0\0\0\0\0\0,2200\3000\4000\0\0\0\0\0\0,www.hotelsinkochi.co.in
HOTEL4842,Hotel Presidency,"Paramara Rd, Kacheripady, Kochi, Kerala 682018 Phone:0484 239 4300",47,3STAR,Tower\Deluxe\Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,900\900\900\900\900\900\900\900\900,500\500\500\500\500\500\500\500\500,1000\1000\1000\1000\1000\1000\1000\1000\1000,1000\1000\1000\1000\1000\1000\1000\1000\1000,850\850\850\850\850\850\850\850\850,500\500\500\500\500\500\500\500\500,2450\2800\4000\0\0\0\0\0\0,2450\2800\4000\0\0\0\0\0\0,2450\2800\4000\0\0\0\0\0\0,2450\2800\4000\0\0\0\0\0\0,2450\2800\4000\0\0\0\0\0\0,2450\2800\4000\0\0\0\0\0\0,2450\2800\4000\0\0\0\0\0\0,2450\2800\4000\0\0\0\0\0\0,2450\2800\4000\0\0\0\0\0\0,www.presidencyhotel.com
HOTEL4843,The Dunes,"Off M.G.Road, Doraiswamy Iyer Rd, Shenoys, Kochi, Kerala 682035, Phone:0484 238 4030",47,3STAR,Deluxe\Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,900\900\900\900\900\900\900\900\900,200\200\200\200\200\200\200\200\200,900\900\900\900\900\900\900\900\900,1500\1500\1500\1500\1500\1500\1500\1500\1500,750\750\750\750\750\750\750\750\750,500\500\500\500\500\500\500\500\500,2600\4800\8400\0\0\0\0\0\0,2600\4800\8400\0\0\0\0\0\0,2600\4800\8400\0\0\0\0\0\0,2600\4800\8400\0\0\0\0\0\0,2600\4800\8400\0\0\0\0\0\0,2600\4800\8400\0\0\0\0\0\0,2600\4800\8400\0\0\0\0\0\0,2600\4800\8400\0\0\0\0\0\0,2600\4800\8400\0\0\0\0\0\0,www.duneshotels.com
HOTEL4844,Hotel Abaam,"1. Opposite Vyttila Mobility Hub, Kaniampuzha road, Vyttila, Kochi, Kerala 682019, Phone:0484 290 3300",47,3STAR,Emerald\Sapphire,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,900\900\900\900\900\900\900\900\900,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2600\4200\0\0\0\0\0\0\0,2600\4200\0\0\0\0\0\0\0,2600\4200\0\0\0\0\0\0\0,2600\4200\0\0\0\0\0\0\0,2600\4200\0\0\0\0\0\0\0,2600\4200\0\0\0\0\0\0\0,2600\4200\0\0\0\0\0\0\0,2600\4200\0\0\0\0\0\0\0,2600\4200\0\0\0\0\0\0\0,www.abaamhotels.com
HOTEL4845,Abad Fort Kochi,"Moulana Azad Rd, Panayappilly, Chullickal, Fort Cochin, Kochi, Kerala 682005 Phone: 0484 414 8888",47,3STAR,Deluxe\Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,500\500\500\500\500\1500\500\500\500,250\250\250\250\250\250\250\250\250,1000\1000\1000\1000\1000\1000\1000\1000\1000,750\750\750\750\750\750\750\750\750,750\750\750\750\750\750\750\750\750,500\500\500\500\500\500\500\500\500,2250\3150\0\0\0\0\0\0\0,2250\3150\0\0\0\0\0\0\0,2250\3150\0\0\0\0\0\0\0,2250\3150\0\0\0\0\0\0\0,2250\3150\0\0\0\0\0\0\0,2250\3150\0\0\0\0\0\0\0,2250\3150\0\0\0\0\0\0\0,4250\5150\0\0\0\0\0\0\0,2250\3150\0\0\0\0\0\0\0,www.abadhotels.com/hotelabad
HOTEL4847,Sealord Cochin,"Shanmugham Road, Kochi, Kerala 682031, Phone:0484 238 2472",47,2STAR,Standard,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,1900\0\0\0\0\0\0\0\0,www.sealordhotels.com
HOTEL4848,Diwans Court,"Divans Road, Pallimukku, Near Laxmi Hospital, Near Medical Trust Hospital, Ernakulam, Kochi, Kerala 682016, Phone:0484 403 4068",47,2STAR,Standard,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,www.sealordhotels.com
HOTEL4849,Hotel Aiswarya," Opposite Lotus Club, Warriam Road, Jose Junction, Kochi, Kerala 682016 Phone: 0484 236 4454",47,3STAR,Executive Deluxe\Suite,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2400\2900\0\0\0\0\0\0\0,2400\2900\0\0\0\0\0\0\0,2400\2900\0\0\0\0\0\0\0,2400\2900\0\0\0\0\0\0\0,2400\2900\0\0\0\0\0\0\0,2400\2900\0\0\0\0\0\0\0,2400\2900\0\0\0\0\0\0\0,2400\2900\0\0\0\0\0\0\0,2400\2900\0\0\0\0\0\0\0,www.aiswaryahotels.com
HOTEL4851,Blue Water Cherai,"Beach Rd, Cherai, Kochi, Kerala 683514 Phone: 0484 241 8000",47,3STAR,Superior\Deluxe\Suite,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,700\700\700\700\1450\700\2200\700\700,350\350\350\350\1100\350\1850\350\350,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3300\3800\4500\0\0\0\0\0\0,3300\3800\4500\0\0\0\0\0\0,3300\3800\4500\0\0\0\0\0\0,4000\4500\6000\0\0\0\0\0\0,4000\4500\6000\0\0\0\0\0\0,4000\4500\6000\0\0\0\0\0\0,4000\4500\6000\0\0\0\0\0\0,4000\4500\6000\0\0\0\0\0\0,4000\4500\6000\0\0\0\0\0\0,www.bluewaterscherai.in
HOTEL4855,Silver Tips," SH16, Munnar, Kerala 685612, Phone:04865 230 238",52,4STAR,Executive\Superior\Suite,550\550\550\550\550\550\550\550\550,550\550\550\550\550\550\550\550\550,1200\1200\1200\1200\2700\1200\3700\1200\1200,300\300\300\300\1800\300\1800\300\300,900\900\900\900\900\900\900\900\900,1500\1500\1500\1500\1500\1500\1500\1500\1500,350\350\350\350\350\350\350\350\350,250\250\250\250\250\250\250\250\250,6000\7000\9000\0\0\0\0\0\0,6000\7000\9000\0\0\0\0\0\0,6000\7000\9000\0\0\0\0\0\0,6000\7000\9000\0\0\0\0\0\0,6500\7500\9500\0\0\0\0\0\0,9500\10500\12500\0\0\0\0\0\0,6500\7500\9500\0\0\0\0\0\0,11500\12500\14500\0\0\0\0\0\0,6500\7500\9500\0\0\0\0\0\0,www.silvertipsmunnar.com
HOTEL4856,Orchid highland," Chithirapuram South Power House Road, Munnar, Kerala 685565 Phone: 0484 406 4777",52,4STAR,Deluxe\Executive\Premium\Presidential Suite,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1500\1500\1750\1750\3250\1500\4000\1500\1500,750\750\750\750\1500\750\2000\750\750,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,7200\7200\9000\16000\0\0\0\0\0,7200\7200\9000\16000\0\0\0\0\0,7200\7200\9000\16000\0\0\0\0\0,7200\7200\9000\16000\0\0\0\0\0,9000\9500\11000\20000\0\0\0\0\0\0,10500\11000\12500\21500\0\0\0\0\0,9000\9500\11000\20000\0\0\0\0\0\0,11500\12000\13500\22500\0\0\0\0\0,9000\9500\11000\20000\0\0\0\0\0\0,www.orchidmunnar.com
HOTEL4857,Eastend Munnar,"Temple Road, Munnar, Kerala 685612 , Phone:04865 230 451",52,3STAR,Galaxy\Super Deluxe\Premium \Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,1000\1000\1000\1000\1000\1000\2500\1000\1000,500\500\500\500\500\500\2000\500\500,1500\1500\1500\1500\1500\1500\1500\1500\1500,850\850\850\850\850\850\850\850\850,750\750\750\750\750\750\750\750\750,750\750\750\750\750\750\750\750\750,3200\3400\5250\6500\0\0\0\0\0,3200\3400\5250\6500\0\0\0\0\0,3200\3400\5250\6500\0\0\0\0\0,3200\3400\5250\6500\0\0\0\0\0,3200\3400\5250\6500\0\0\0\0\0,3200\3400\5250\6500\0\0\0\0\0,3200\3400\5250\6500\0\0\0\0\0,6200\6400\8250\9500\0\0\0\0\0,3200\3400\5250\6500\0\0\0\0\0,eastend.in/eastend-munnar
HOTEL4858,Clouds valley,"SH16, Kannan Devan Hills, Moolakadai, Munnar, Kerala 685612,Phone:04865 230 687",54,3STAR,Deluxe\Valley View,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,1000\1000\1000\1000\3000\1000\3500\1000\1000,750\750\750\750\2750\750\3250\750\750,1500\1500\1500\1500\1500\1500\1500\1500\1500,2250\2250\2250\2250\2250\2250\2250\2250\2250,500\500\500\500\500\500\500\500\500,150\150\150\150\150\150\150\150\150,3450\3950\0\0\0\0\0\0\0,3450\3950\0\0\0\0\0\0\0,3450\3950\0\0\0\0\0\0\0,3450\3950\0\0\0\0\0\0\0,4200\4700\0\0\0\0\0\0\0,4200\4700\0\0\0\0\0\0\0,4200\4700\0\0\0\0\0\0\0,4200\4700\0\0\0\0\0\0\0,4200\4700\0\0\0\0\0\0\0,www.cloudsvalleymunnar.com
HOTEL4859,Monsoon Grande," Near Chithirapuram Health Center, Chithirapuram, Munnar, Kerala 685565 Phone: 04865 263 796",52,3STAR,Grand Deluxe\Grand Suite\Exotic (Honeymoon Suite),400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,1000\1000\1200\1200\2200\1200\2700\1200\1000,500\500\600\600\1600\500\2100\600\500,750\750\750\750\750\750\750\750\750,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,250\250\250\250\250\250\250\250\250,3500\4000\4500\0\0\0\0\0\0,3500\4000\4500\0\0\0\0\0\0,3500\4000\4500\0\0\0\0\0\0,3500\4000\4500\0\0\0\0\0\0,4500\5000\5500\0\0\0\0\0\0,6500\7000\7500\0\0\0\0\0\0,4500\5000\5500\0\0\0\0\0\0,7500\8000\8500\0\0\0\0\0\0,4500\5000\5500\0\0\0\0\0\0,monsoongrande.com
