Hotel_name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(01st April to 30th Sep),Season2(01st Oct to 10th Dec),Season3(10th Dec  to 20th Dec),Season4 (20th Dec to 23rd Dec),Season 5(24th Dec ),Season 6(25th Dec to 30th Dec ),Season 7 (31st Dec ),Season 8(01st Jan to 10th Jan),Season 9(11th Jan to 31st Mar),
Birds Valley Resort,"Kunjithanny, Munnar, Idukky, Kerala 685565, Phone:04865 265 500",54,3 Star,Valley View\Honeymoon Cottage\Royal Mountain View Cottage(2 B/R)\Presidential Suite,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,900\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2500\3000\4500\5500\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.birdsvalley.com
Misty Mountain Resort,"Randam Mile / Second Mile Junction,Pallivasal, Munnar, Kerala 685565, Phone:04865 263 784",54,3 Star,Standard\Valley  View\Valley View Deluxe\Valley View Suite,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2300\2800\3200\4000\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.mistymountainresort.in
Blackberry Hills,"Bison Valley Road, Pothamedu View Point, Munnar, Kerala 685612, Phone:094477 06606",54,3 Star,Garden Studio\Garden Suite\Villa Suite,750\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4500\5350\6150\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.blackberryresorts.com
Nature Zone Resort,"Munnar -Udumalpet Road, Pulippara, Pallivasal, Munnar, Kerala 685612, Phone:097454 33330",54,3 Star,African Safari Tent (MAP)\Tree House (MAP),500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1200\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.naturezoneresort.com
Hotel C7,"Tea Museum Road, Nullatanni, Munnar, Kerala 685612, Phone:04865 230 217",54,2 Star ,Deluxe\Galaxy Garden View\Club Suite,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2400\3000\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.c7hotels.com
Bellmount Resort," NH Road, Central Munnar,, Kerala 685612, Phone:094955 41212",54,2 Star ,Deluxe\Super Deluxe\Galaxy,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1700\2200\2700\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.bellmountmunnar.in
Laspalms Munnar,"NH 49, Devikulam P. O, Munnar, Idukki, Munnar, Keral",54,2 Star ,Standard,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1700\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.sealordhotels.com
Whispering Meadows," 2nd Mile, Pallivasal Post Office, Munnar, Kerala, Phone:0484 236 4480",54,2 Star ,Garden Cottage\Deluxe Cottage\Superior Cottage,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1600\1800\2000\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,thewhisperingmeadows.com
Rose Dale - Home Stay,"Attukad water falls road, Pallivasal Munnar, Phone: +91 9961205647, 9562772089",54,2 Star ,01 Bed Room\02 Bed Room\03 Bed Room,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1250\2000\3000\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.rosedalehotels.com
Elephant Court,"Thekkady P.O,, Thekkady, Idukki, Kerala 685536, Phone:04869 224 697",56,5 Star,Executive\Family Enclave\Patio\Garden Suite\Honeymoon Suite\Pool Suite,650\0\0\0\0\0\0\0\0,650\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3800\3900\4000\7000\9000\18000\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.theelephantcourt.com
Poetree Sarovar Portico,"Ottakathalamedu, Amaravathy P.O.,Thekkady, Kumily, Kerala 685509, Phone:086069 98448",56,4 Star ,Club Room\Oval Escape\Circle of Solitude\Circle of Solitude\Poetree Reserva\Prive Presidential Suite,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4300\6000\6000\14000\17000\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.sarovarhotels.com
Holiday Vista,"KK Road, Thekkady, Idukki, Kumily, Kerala 685509, Phone:04869 224 800",56,4 Star ,Standard (Gold Jewel)\Deluxe (Platinum Jewel)\Suite (Diamod Jewel),500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,1700\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3400\3900\5000\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.holidayvista.in
Thekkady Wild Corridor ,"Mutikkady Kumily, Idukki, 685531, Phone:04869 224 414",56,4 Star ,Nature View Cottage\Nature View Cottage\Valley View Cottage\Valley View Cottage\Romantic Sky Cottage\Romantic Villa\Wild Corridor Private Villa,750\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4000\4250\4500\7000\10000\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,thekkadywildcorridor.com
Cardamom County,"Kumily Thekkady Road, Thekkady, Kerala 685536, Phone:04869 224 501",56,4 Star ,Periyar Non AC Cottage\Periyar AC Cottage\County Cottage\Suite,700\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3600\4100\4100\8500\10000\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.thekkady.com/cardomon
Spice Village," Kumily Road, Thekkady, Kumily, Kerala 685536, Phone:0484 266 8421",56,4 Star ,Standard Villa\Deluxe Villa,675\0\0\0\0\0\0\0\0,675\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,7125\9000\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.thekkady.com/spice-village-thekkady
Lake Palace,"1. Thekkady, Idukki, Kerala 685536, Phone:04869 223 888",56,4 Star ,Premium (APAI),0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3278\0\0\0\0\0\0\0\0,1639\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,10517\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.lakepalacethekkady.com
Spice Grove,"Thekkady , Munnar Road, Anakkara PO, Idukki, Kerala 685512, Phone:04868 282 114",56,4 Star ,Deluxe\Premium\Family Suite\Honeymoon Suite,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2200\2600\4500\5000\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.spicegrove.in
Aranya Nivas,"Thekkady, Kumily, Kerala 685536, Phone:04869 222 023",56,4 Star ,Deluxe  (MAPAI)\Premium (MAPAI)\Suite (MAPAI),0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1352\1445\1720\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4222\4721\6220\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.aranyanivasthekkady.com
Hotel Tree Top,"Kumily Thekkady Road, Thekkady, Idukki, Kerala 685536, Phone:04869 223 287",56,3 Star,Deluxe\Cottage\Bungalow(04 B/R),500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2300\8000\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,hoteltreetop.com
Periyar Meadows,"Thekkady Road, Kumily, Kerala 685509,Phone:04869 224 123",56,3 Star,Deluxe\Cottage\Bungalow (04 B/R),400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2250\2750\3250\3750\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.periyarmeadows.com
Tigers Roare," Near Entrance Gate, Thekkady, Kumily, Kerala 685536,Phone:04869 224 999",56,3 Star,Imperial Deluxe\Elite Honeymoon Deluxe\Royal Deluxe\Presidential Deluxe,600\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2400\3000\3800\5000\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.tigersroarperiyar.com
Abad Green Forest,"Opposite RC Church, Thekkady Junction, Kumaly, Kerala 685509, Phone:0484 238 1122",56,3 Star,Jungle Lodge\Jungle Cottage,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2500\3000\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.abadhotels.com/thekkady
Grand Thekkady,"Lake Road,, Thekkady, Kerala 685509, Phone:04869 222 60",56,3 Star,Deluxe Non Ac\Super Deluxe\Suite,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1400\2200\3300\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.grandthekkady.in
Jungle Park Resort,"Lake Road, Kumily Thekkady Road, Kumily, Thekkady, Kerala 685509, Phone:094465 22972",56,3 Star,Jungle View Super Deluxe \Family Suite\Triple Deluxe Family Room ,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\3000\2800\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.jungleparkresorts.com
Sandra Palace,"Opposite Lourde Church , Lake Road, Thekkady, Kerala 685509, Phone:04869 224 561",56,2 Star ,Deluxe\Superior\Luxury,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1300\1600\2000\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.hotelsandrapalace.com
Blooming Paradise,"Kumily Thekkady Rd, Thekkady, Kumily, Kerala 685509, Phone:04869 222 687",56,2 Star ,Standard\Deluxe\Superior,250\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1200\1300\1400\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.bloomingparadise.in
Thekkady Woods,"Anavachal Road, Thekkady, Kerala, Phone:097477 74905",56,2 Star ,Deluxe\Premium\Suite,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,150\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1349\2299\3199\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,thekkadywoods.com
Silvercrest Thekkady,"Thekkady Road Kumily, Thekkadi, Kerala 685509, Phone:04869 222 481 ",56,2 Star ,Standard,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.sealordhotels.com/silver_crest.html
The Zuri,"V 235 A1 to A54, Karottukayal, Kumarakom, Kottayam, Kerala 686563, Phone:0481 252 727",53,5 Star,Superior Lagoon View Room\Deluxe Lagoon View Room\Lagoon View Cottage\Presidential Pool villas,1500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,8100\9000\10000\21600\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.thezurihotels.com
Kumarakom Lake Resort,"Kumarakom North Post, Kottayam, Kerala 686563, Phone:0481 252 4900",53,5 Star,Luxury Pavilion Room\Luxury Pavilion Room\Meandering Pool Villa\Heritage Villa with Private Pool\Meandering Pool Duplex Villa\Heritage Lake View Villa with Private Pool\Presidential Suite with Private Pool,1650\0\0\0\0\0\0\0\0,1650\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,12000\12000\13000\15000\15000\50000\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.kumarakomresort.com
Aveda Kumarakom,"V/240-A, Ammankari Road, Kumarakom, Kottayam, Kerala 686563, Phone:0481 252 5500",53,4 Star ,Lakeview Terrace Luxury \Lakeview Luxury Cottage\Lakeview Luxury Villa With Plunge Pool\Lakeview Terrace Suite\Lakefront Luxury Villa With Plunge Pool,1000\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6500\8000\10000\12500\12500\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,avedakumarakom.com
Lake Song," Ammankari Road, Kumarakom, Kerala 686563, Phone:094460 01498",53,4 Star ,Punnamada\Ashtamudi\Vembanadu,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1470\0\0\0\0\0\0\0\0,1050\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4300\5370\6440\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,lakesong-kumarakom.onetime.com
Cocobay Resort,"Kumarakom North, Kottayam, Kerala 686566, Phone:0481 252 3200",53,4 Star ,Suite\Family Suite,550\0\0\0\0\0\0\0\0,550\0\0\0\0\0\0\0\0,905\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3609\5419\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.cocobayresort.net
