Hotel_name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(01st April to 30th Sep),Season2(01st Oct to 10th Dec),Season3(10th Dec  to 20th Dec),Season4 (20th Dec to 23rd Dec),Season 5(24th Dec ),Season 6(25th Dec to 30th Dec ),Season 7 (31st Dec ),Season 8(01st Jan to 10th Jan),Season 9(11th Jan to 31st Mar)
Arcadia Regency,"Mullakkal, Alappuzha, Kerala 688001, Phone:0477 223 0414",46,3 Star,Deluxe\Luxury\Suite,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,150\0\0\0\0\0\0\0\0,,,,,2000\2250\3250,,,,,,,,
Pagoda Resort," Near Kallupalam, Chungam Road, Alappuzha, Kerala 688011, Phone:0477 225 2549",46,3 Star,Deluxe\Deluxe Superior\Cottage\Suite,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,,,,,2125\2350\2675\3300,,,,,,,,
Prince Hotel,"A S Road, N.H.47, near Kommadi Junction, Alappuzha, Kerala 688007, Phone:0477 224 3752",46,2 Star ,Executive\Executive Deluxe\Premier\Executive Suite,300\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,,,,,1700\1900\2200\4000,,,,,,,,
Cosy Regency," Cosy Regency, Finishing Point, Thathampally P O, Alappuzha, Kerala 688013, Phone:0477 225 4840",46,2 Star ,Deluxe non Ac\Deluxe Ac,250\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,,1500\1800,,,,,,,,
Hotel Raiban,"Near Medical College Hospital, Alleppey, Alappuzha (Alleppey), Kerala, Phone:092434 01510",46,2 Star ,Standard Non AC\Deluxe Non AC\Standard AC\Deluxe AC,175\0\0\0\0\0\0\0\0,175\0\0\0\0\0\0\0\0,375\0\0\0\0\0\0\0\0,150\0\0\0\0\0\0\0\0,,,,,950\1150\1650\2150,,,,,,,,
Hotel Picasso Castle,"Thondankulangara Junction, Thondankulangara - Punnamada Rd, Thondankulangara, Thathampally, Alappuzha (Alleppey), Kerala 688013, Phone:0477 645 2525",46,2 Star ,Standard AC\Deluxe AC\Super Deluxe AC\Suite AC,300\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,250\250\300\300\0\0\0\0\0,,,,,,1650\1920\2010\2460,,,,,,,,
Hotel Picasso Castle,"Thondankulangara Junction, Thondankulangara - Punnamada Rd, Thondankulangara, Thathampally, Alappuzha (Alleppey), Kerala 688013, Phone:0477 645 2525",46,2 Star ,Standard Non AC\Deluxe Non AC\ Super Deluxe Non AC,300\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,250\250\300\0\0\0\0\0\0,,,,,,1380\1560\1650,,,,,,,,
The Marai Beach,"Mararikulam North P.O., North S.L Puram, Marari, Kerala 668549, Phone:0478 286 380",,5 Star,Garden Villa\Garden Pool Villa\Deluxe Pool Villa,675\0\0\0\0\0\0\0\0,675\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,,,,,,7125\9000\11250,,,,,,,,
Abad Turtle Beach,"Varankavala, Pollathai, Mararikulam, Alappuzha, Kerala 688567, Phone:0478 218 6964",,4 Star ,Beach Cottage\Beach Villa,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,3500\4500,,,,,,,,
Fortune Hotel The South Park," MG Road, Thiruvananthapuram, Kerala 695034, Phone:0471 233 3333",58,4 Star ,Standard\Fortune Club,600\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,850\0\0\0\0\0\0\0\0,,,,,,4400\5000,,,,,,,,
Uday Suites,"T.C. 34/757/3, Watts Lane Beach, Shangumugham, Thiruvananthapuram, Kerala 695007",58,4 Star ,Exotica Attrium\Exotcia Premium,550\0\0\0\0\0\0\0\0,550\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,2600\3300,,,,,,,,
S P Grand Days," Near New Flyover, Panavila, Thycaud, Thiruvananthapuram, Kerala 695014, Phone:0471 233 3344",58,4 Star ,Deluxe \Premium\Grand Suite,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,960\0\0\0\0\0\0\0\0,,,,,,3598\4198\5996,,,,,,,,
Biveras Suites,"Kumarapuram,, Medical College P O, Thiruvananthapuram, Kerala 695011, Phone:0471 421 1111",58,3 Star,Executive\Deluxe\Super Deluxe\Suite,375\0\0\0\0\0\0\0\0,375\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,175\0\0\0\0\0\0\0\0,,,,,2300\2600\3500\3800,,,,,,,,
The Capital,"Near GPO, Pulimood, Thiruvananthapuram, Kerala 695001, Phone:0471 247 1987",58,3 Star,Standard\Junior Suite\Deluxe Suite,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,200\0\0\0\0\0\0\0\0,,,,,2400\3000\4000,,,,,,,,
Toms Inn (Bed & Breakfast),"VPI/439, ITDC Road Kovalam, Thiruvananthapuram, Kerala 695527, Phone:0471 256 1010",58,3 Star,Sea View,,,550\0\0\0\0\0\0\0\0,,,,,,3250,,,,,,,,
Hotel Chaithram,"Near KSRTC Bus Stand, Thampanoor, Thiruvananthapuram, Kerala 695001, Phone:0471 233 0977",58,2 Star ,Deluxe\Premium\Suite\Royal Deluxe\Rayal Suite,,,472\602\657\666\1018\0\0\0\0,,,,,,1636\2336\2635\2036\4034,,,,,,,,
Leela,"Beach Road, Kovalam Beach, Thiruvananthapuram, Kerala 695527, Phone:0471 305 1234",51,5 Star,Beach view superior,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,850\0\0\0\0\0\0\0\0,,,,,8450,,,,,,,,
Taj Vivanta,"1. . V. Raja Vattappara Road,Kovalam, Thiruvananthapuram, KL 695527, Phone:0471 661 3000",51,5 Star,Superior Garden View,,,2750\0\0\0\0\0\0\0\0,,,,,,7800,,,,,,,,
Turtle on the Beach,"VPI/439, ITDC Road, Kovalam, Thiruvananthapuram, Kerala 695527,Phone:0471 251 4000",51,5 Star,Arabian Sea View\Suite\Turtle Signature Suite\Duplex Room,750\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,1250\0\0\0\0\0\0\0\0,,,,,,6000\7250\9000\10000,,,,,,,,
Uday Samudra,"GV Raja Rd, Kovalam, Thiruvananthapuram, Kerala 695527, Phone:0471 248 3111",51,4 Star ,Ayur Ashram\Attrium\Exotica Premium\Deluxe Suite\Presidential Suite\Maharaja Suite,850\0\0\0\0\0\0\0\0,850\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,,,,,3350\4350\5350\6850\8350\15350,,,,,,,,
Hotel Samudra,"G.V.Raja Road, Samudra Beach, Kovalam, Thiruvananthapuram, Kerala 695527, Phone:0471 248 0089",51,4 Star ,Deluxe\Premium,562\0\0\0\0\0\0\0\0,562\0\0\0\0\0\0\0\0,859\1125\0\0\0\0\0\0\0,430\564\0\0\0\0\0\0\0,,,,,3528\4977,,,,,,,,
Soma Palmshore,"Light House Road, Kovalam Beach, Thiruvananthapuram, Kerala 695521, Phone:0471 248 6666",51,3 Star,STD Sea View\Deluxe Sea View\Sea Facing Cottage,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,2400\2640\3000,,,,,,,,
Abad Harmonia,"Chowara Beach, Adimalathura, Thiruvananthapuram, Kovalam, Kerala 695501, Phone:0484 414 4000",51,3 Star,Superior\Cottage,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,,,,,2000\2500,,,,,,,,
Samudratheeram Resort," I T D C Grove Beach, Kovalam, Thiruvananthapuram, Kerala 695527, Phone:0471 248 823",51,3 Star,Deluxe\Ocean View\Superior,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,,,,,1800\2000\2500,,,,,,,,
Sagara Beach Resort,"Light House Road, Vizhinjam Harbour Rd, Near Light House, Vizhinjam, Kovalam, Kerala 695527, Phone:0471 399 9000",51,3 Star,Standard\Deluxe\Palace Sea View,600\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,2500\3000\3500,,,,,,,,
Jasmine Palace,"Temple Road, Kovalam, Kerala 695527, Phone:094959 43941",51,3 Star,Deluxe\Superior ,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,150\0\0\0\0\0\0\0\0,,,,,1750\2000,,,,,,,,
Jeevan Beach Resort,"Hawa Beach, Kovalam, Vizhinjam, Thiruvananthapuram, Kerala 695521, Phone:0471 248 0662",51,2 Star,Sea Shell (Partial Sea View)\Sea Shore (Partial Sea View over the Pool)\Bay Watch (Sun set sea View)\Exotic Sea View\Wooden Suite\Pearl Sea View,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,1600\1800\2000\2500\4000\4500,,,,,,,,
Swagath Holiday Resort,"Near Eve's Beach, Near Upasana Hospital, Kovalam Beach Road, Kovalam, Thiruvananthapuram, Kerala 695527, Phone:0471 248 1149",51,2 Star,Pawan Room ,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,150\0\0\0\0\0\0\0\0,,,,,1800,,,,,,,,
Poovar Island Resort,"K.P. VII/911, Pozhiyoor, Trivandrum, Kerala 695513, Phone:0471 221 2068",55,4 Star,Superior Land cottage\Premium Land Cottage\Floating cottage\Deluxe Floating cottage,600\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,1750\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,,,,,3650\5500\5500\8500,,,,,,,,
Isola di Cocco Resort,"Poovar Post Office, Trivandrum, Kerala 695525, Phone:0471 221 0008",55,4 Star,Classic Pavilion\Heritage Home\Suite\Tree Top Sea view,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,,,,,3000\3200\4700\5400,,,,,,,,
Estuary Island Resort," Poovar, Trivandrum, Kerala 695525, Phone:0471 222 9222",55,4 Star,Garden View\Garden View Cottage\Estuary View\Leisure Villa,650\0\0\0\0\0\0\0\0,650\0\0\0\0\0\0\0\0,1250\0\0\0\0\0\0\0\0,,,,,,3900\4250\5000\6750,,,,,,,,
