Hotel name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(08th Aug to 30th Sep),Season2 (01st Oct to 24th Oct),Season3 (25th Oct to 10th Nov),Season4 (11th Nov to 19th Dec),Season5 (20th Dec to 23rd Dec),Season6(24th Dec ),Season7(25th Dec to 30th Dec ),Season8 (31st Dec ),Season9 (01st Jan to 10th Jan)
Sparsa,xx,10,4STAR,Deluxe Ac Room ,700\700\700\700\700\700\700\700\700,700\700\700\700\700\700\700\700\700,1000\1000\1000\1000\2000\1000\2500\1000\1000,1000\1000\1000\1000\2000\1000\2500\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,6700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,7700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0
Anantya Resort,xx,10,4STAR,Chakra\siddi\vetha\sathana,850\850\850\850\850\850\850\850\850,850\850\850\850\850\850\850\850\850,1500\1500\1500\1500\3000\1500\3000\1500\1500,1000\1000\1000\1000\2500\1000\2500\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,7413\8299\11191\12310\0\0\0\0\0,7413\8299\11191\12310\0\0\0\0\0,7413\8299\11191\12310\0\0\0\0\0,7413\8299\11191\12310\0\0\0\0\0,7413\8299\11191\12310\0\0\0\0\0,10413\11299\14191\0\0\0\0\0\0,7413\8299\11191\12310\0\0\0\0\0,10413\11299\14191\0\0\0\0\0\0,7413\8299\11191\12310\0\0\0\0\0
Seashore,xx,10,3STAR,Deluxe City View Ac Room\Classic sea View Ac room ,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,900\900\900\1000\1000\1000\1000\1000\900,250\250\250\500\500\500\500\500\250,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2500\0\0\0\0\0\0\0,2000\2500\0\0\0\0\0\0\0,2000\2500\0\0\0\0\0\0\0,2000\2500\0\0\0\0\0\0\0,2500\3700\0\0\0\0\0\0\0,2500\3700\0\0\0\0\0\0\0,2500\3700\0\0\0\0\0\0\0,2500\3700\0\0\0\0\0\0\0,2500\3700\0\0\0\0\0\0\0
Hotel Seaface,xx,10,3STAR,Standard city view\Deluse sea view,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,700\700\700\800\800\800\800\800\700,350\350\350\400\400\400\400\400\350,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2400\0\0\0\0\0\0\0,2000\2400\0\0\0\0\0\0\0,2000\2400\0\0\0\0\0\0\0,2000\2400\0\0\0\0\0\0\0,2400\3500\0\0\0\0\0\0\0,2400\3500\0\0\0\0\0\0\0,2400\3500\0\0\0\0\0\0\0,2400\3500\0\0\0\0\0\0\0,2400\3500\0\0\0\0\0\0\0
Gopinivas grand,xx,10,3STAR,Standard Double\Superior Double \Deluxe Double,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1200\1818\2637\0\0\0\0\0\0,1200\1818\2637\0\0\0\0\0\0,1200\1818\2637\0\0\0\0\0\0,1200\1818\2637\0\0\0\0\0\0,2370\3091\4430\0\0\0\0\0\0,2370\3091\4430\0\0\0\0\0\0,2370\3091\4430\0\0\0\0\0\0,2370\3091\4430\0\0\0\0\0\0,2370\3091\4430\0\0\0\0\0\0
Sunworld,xx,10,2STAR,Standard City View Ac Room\Standard Sea Facing Ac Room ,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,500\500\500\500\500\500\500\500\500,250\250\250\250\250\250\250\250\250,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1950\2450\0\0\0\0\0\0\0,1950\2450\0\0\0\0\0\0\0,1950\2450\0\0\0\0\0\0\0,1950\2450\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0
Melody Park,xx,10,2STAR,Standard\Deluxe Surface\Superior Deluxe Surface\Deluxe Suite\Executive Suite,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,550\550\550\550\550\550\550\550\550,550\550\550\550\550\550\550\550\550,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0
Sterling,xx,40,2STAR,Valley View,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4860\0\0\0\0\0\0\0\0,4860\0\0\0\0\0\0\0\0,4860\0\0\0\0\0\0\0\0,4860\0\0\0\0\0\0\0\0,4860\0\0\0\0\0\0\0\0,4860\0\0\0\0\0\0\0\0,4860\0\0\0\0\0\0\0\0,4860\0\0\0\0\0\0\0\0,4860\0\0\0\0\0\0\0\0
La flora,xx,40,2STAR,Standard,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,750\750\750\750\750\750\750\750\750,750\750\750\750\750\750\750\750\750,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0
Vels Court,xx,20,3STAR,Standard\Deluxe\Executive Room,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,650\650\650\650\650\650\650\650\650,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2485\2710\3265\0\0\0\0\0\0,2485\2710\3265\0\0\0\0\0\0,2485\2710\3265\0\0\0\0\0\0,2485\2710\3265\0\0\0\0\0\0,2485\2710\3265\0\0\0\0\0\0,2485\2710\3265\0\0\0\0\0\0,2485\2710\3265\0\0\0\0\0\0,2485\2710\3265\0\0\0\0\0\0,2485\2710\3265\0\0\0\0\0\0
Subam,xx,20,2STAR,Deluxe\Famiy Suite,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,630\630\630\630\630\630\630\630\630,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2402\3647\0\0\0\0\0\0\0,2402\3647\0\0\0\0\0\0\0,2402\3647\0\0\0\0\0\0\0,2402\3647\0\0\0\0\0\0\0,2402\3647\0\0\0\0\0\0\0,2402\3647\0\0\0\0\0\0\0,2402\3647\0\0\0\0\0\0\0,2402\3647\0\0\0\0\0\0\0,2402\3647\0\0\0\0\0\0\0
The president Jayanagar,xx,62,3STAR,Comfort\Luxury\Studio,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0\0
Pai Viceroy,xx,62,3STAR,Superior Ac Room\Executive Ac Room\Suite Ac Room,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0
Pai comforts JP Nagar,xx,62,3STAR,Superior Ac Room\Deluxe Ac Room ,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0
Pai vaibhav hotel,xx,62,2STAR,Deluxe Ac Room\Suite Ac Room ,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0
Pai vista,xx,62,3STAR,Superior\Executive,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,968\968\968\968\968\968\968\968\968,400\400\400\400\400\400\400\400\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0
Fortune Select Trinity,xx,62,4STAR,Standard Ac Room\Fortune Club Ac Room,800\800\800\800\800\800\800\800\800,850\850\850\850\850\850\850\850\850,1200\1200\1200\1200\1200\1200\1200\1200\1200,600\600\600\600\600\600\600\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0
Fortune Select Jp Cosmos,xx,62,4STAR,Standard Ac Room\Fortune Club Ac Room,750\750\750\750\750\750\750\750\750,750\750\750\750\750\750\750\750\750,1200\1200\1200\1200\1200\1200\1200\1200\1200,600\600\600\600\600\600\600\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0
Fortune Park JP Celestial,xx,62,3STAR,Standard Ac Room\Fortune Club Ac Room,550\550\550\550\550\550\550\550\550,650\650\650\650\650\650\650\650\650,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0
My Fortune,xx,62,4STAR,Standard Ac Room\Fortune Club Ac Room,850\850\850\850\850\850\850\850\850,850\850\850\850\850\850\850\850\850,1500\1500\1500\1500\1500\1500\1500\1500\1500,800\800\800\800\800\800\800\800\800,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0
Ramada,xx,62,3STAR,Deluxe,450\450\450\450\450\450\450\450\450,500\500\500\500\500\500\500\500\500,1100\1100\1100\1100\1100\1100\1100\1100\1100,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0
Royal Orchid Suites,xx,62,4STAR,Studio Room \Executive Suite,550\550\550\550\550\550\550\550\550,650\650\650\650\650\650\650\650\650,1100\1100\1100\1100\1100\1100\1100\1100\1100,550\550\550\550\550\550\550\550\550,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0
Royal Orchid Resort,xx,62,3STAR,Deluxe,600\600\600\600\600\600\600\600\600,700\700\700\700\700\700\700\700\700,1100\1100\1100\1100\1100\1100\1100\1100\1100,550\550\550\550\550\550\550\550\550,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0
Royal orched central ,xx,62,4STAR,Club Room,600\600\600\600\600\600\600\600\600,650\650\650\650\650\650\650\650\650,1200\1200\1200\1200\1200\1200\1200\1200\1200,600\600\600\600\600\600\600\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0
Royal Orchid bangalore,xx,62,3STAR,Deluxe\Royal Club\Executive,750\750\750\750\750\750\750\750\750,850\850\850\850\850\850\850\850\850,1200\1200\1200\1200\1200\1200\1200\1200\1200,600\600\600\600\600\600\600\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0
Hotel Magajiorchid,xx,62,3STAR,Standard Double\Comfort Double,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0
Fortune Kences,xx,80,3STAR,Standard Ac Room\Fortune Club Room,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,800\800\800\800\800\800\800\800\800,400\400\400\400\400\400\400\400\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3500\4500\0\0\0\0\0\0\0,3500\4500\0\0\0\0\0\0\0,2800\3800\0\0\0\0\0\0\0,2800\3800\0\0\0\0\0\0\0,2800\3800\0\0\0\0\0\0\0,2800\3800\0\0\0\0\0\0\0,2800\3800\0\0\0\0\0\0\0,2800\3800\0\0\0\0\0\0\0,2800\3800\0\0\0\0\0\0\0
Raj park Hotel,xx,80,2STAR,Superior Ac Room\Executive Ac Room,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,700\700\700\700\700\700\700\700\700,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0
Fortune select grand ridge,xx,80,4STAR,Standard Room\Fortune Club Room,800\800\800\800\800\800\800\800\800,900\900\900\900\900\900\900\900\900,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0
pai Viceroy,xx,80,3STAR,Superior\Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,847\847\847\847\847\847\847\847\847,400\400\400\400\400\400\400\400\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0
Kandy plr hotel,xx,80,2STAR,Standard Ac Room\Club Ac Room\Suite Room ,250\250\250\250\250\250\250\250\250,250\250\250\250\250\250\250\250\250,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0
Marasa sarovar premiere hotel,xx,80,3STAR,Deluxe,600\600\600\600\600\600\600\600\600,700\700\700\700\700\700\700\700\700,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0
Hoysala village resort,xx,80,3STAR,Superior\Suite\Jacuzzi villa,600\600\600\600\600\600\600\600\600,650\650\650\650\650\650\650\650\650,1650\1650\1650\1650\1650\1650\1650\1650\1650,1650\1650\1650\1650\1650\1650\1650\1650\1650,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0
Hotel Southern STAR,xx,84,3STAR,Premium Ac Room\Deluxe Ac Room ,650\650\650\650\650\650\650\650\650,650\650\650\650\650\650\650\650\650,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2295\2595\0\0\0\0\0\0\0,2295\2595\0\0\0\0\0\0\0,2295\2595\0\0\0\0\0\0\0,2295\2595\0\0\0\0\0\0\0,2295\2595\0\0\0\0\0\0\0,2295\2595\0\0\0\0\0\0\0,2295\2595\0\0\0\0\0\0\0,2295\2595\0\0\0\0\0\0\0,2295\2595\0\0\0\0\0\0\0
Sri Vengateshwara Residency,xx,65,3STAR,Standard,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,650\650\650\650\650\650\650\650\650,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1920\0\0\0\0\0\0\0\0,1920\0\0\0\0\0\0\0\0,1920\0\0\0\0\0\0\0\0,1920\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0
Caveri Residency,xx,65,3STAR,Deluxe Non AC\Deluxe valley view Non Ac\Suite Non Ac,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2400\2000\0\0\0\0\0\0\0,2000\2400\2000\0\0\0\0\0\0\0,2000\2400\2000\0\0\0\0\0\0\0,2000\2400\2000\0\0\0\0\0\0\0,2000\2400\2000\0\0\0\0\0\0\0,2000\2400\2000\0\0\0\0\0\0\0,2000\2400\2000\0\0\0\0\0\0\0,2000\2400\2000\0\0\0\0\0\0\0,2000\2400\2000\0\0\0\0\0\0\0
Porcupine Castle,xx,65,3STAR,Tree house luxury\Tree house premium\Mountain view chelet Cottage\Valley view Challet cottage,600\600\600\600\600\600\600\600\600,600\600\600\600\600\600\600\600\600,1500\1500\1500\1500\1500\1500\1500\1500\1500,800\800\800\800\800\800\800\800\800,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6292\7260\6292\7260\0\0\0\0\0,6292\7260\6292\7260\0\0\0\0\0,6292\7260\6292\7260\0\0\0\0\0,6292\7260\6292\7260\0\0\0\0\0,10648\12584\10648\12584\0\0\0\0\0,10648\12584\10648\12584\0\0\0\0\0,10648\12584\10648\12584\0\0\0\0\0,12584\14520\12584\14520\0\0\0\0\0,10648\12584\10648\12584\0\0\0\0\0
