Hotel ID,Hotel_name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(05th Nov to 20th Nov),Season2(01st Oct to 10th Dec),Season3(11th Dec  to 20th Dec),Season4 (21th Dec to 23rd Dec),Season 5(24th Dec ),Season 6(25th Dec to 30th Dec ),Season 7 (31st Dec ),Season 8(01st Jan to 10th Jan),Season 9(11th Jan to 31st Mar),Website
HOTEL4766,Cardamom County,"Kumily Thekkady Road, Thekkady, Kerala 685536, Phone:04869 224 501",54,4* ,Periyar Non AC Cottage\Periyar AC Cottage\County Cottage\Suite,700\700\700\700\700\700\700\700\700,700\700\700\700\1\700\1\700\700,1800\2000\2000\3000\6000\3000\7000\3000\2000,1500\1500\1500\1750\4750\1750\5750\1750\1500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6500\6988\8450\11050\0\0\0\0\0,6500\6988\8450\11050\0\0\0\0\0,6500\6988\8450\11050\0\0\0\0\0,8750\9275\11550\14700\0\0\0\0\0,14750\15275\17550\20700\0\0\0\0\0,8750\9275\11550\14700\0\0\0\0\0,16750\17275\19550\22700\0\0\0\0\0,8750\9275\11550\14700\0\0\0\0\0,6500\6988\8450\11050\0\0\0\0\0,www.thekkady.com/cardomon
HOTEL4767,Spice Village," Kumily Road, Thekkady, Kumily, Kerala 685536, Phone:0484 266 8421",54,4* ,Standard Villa\Deluxe Villa,1400\1400\1400\1400\1400\1400\1400\1400\1400,675\1400\1400\1400\1400\1400\1\1400\1400,1500\2475\2475\2475\2475\2475\8475\2475\2475,1500\2475\2475\2475\2475\2475\8475\2475\2475,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,14025\18000\0\0\0\0\0\0\0,14025\18000\0\0\0\0\0\0\0,14025\18000\0\0\0\0\0\0\0,16500\19500\0\0\0\0\0\0\0,16500\19500\0\0\0\0\0\0\0,16500\19500\0\0\0\0\0\0\0,28500\31500\0\0\0\0\0\0\0,16500\19500\0\0\0\0\0\0\0,14025\18000\0\0\0\0\0\0\0,www.thekkady.com/spice-village-thekkady
HOTEL4769,Spice Grove,"Thekkady , Munnar Road, Anakkara PO, Idukki, Kerala 685512, Phone:04868 282 114",54,4* ,Deluxe\Premium\Family Suite\Honeymoon Suite,525\525\525\650\650\650\650\650\525,500\525\525\650\1\650\1\650\525,700\1400\1400\1400\3150\1400\3900\1400\1400,600\600\600\600\1600\600\2100\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5350\6050\7500\9500\0\0\0\0\0,3800\4500\6000\7000\0\0\0\0\0,3800\4500\6000\7000\0\0\0\0\0,5350\6050\7500\9500\0\0\0\0\0,8850\9550\11000\13000\0\0\0\0\0,5350\6050\7500\9500\0\0\0\0\0,10350\11050\12500\14500\0\0\0\0\0,5350\6050\7500\9500\0\0\0\0\0,3850\4550\6000\7000\0\0\0\0\0,www.spicegrove.in
HOTEL4771,Hotel Tree Top,"Kumily Thekkady Road, Thekkady, Idukki, Kerala 685536, Phone:04869 223 287",54,3*,Deluxe\Cottage\Bungalow(04 B/R),500\500\500\500\500\500\500\500\500,500\500\500\500\1\500\1\500\500,800\960\960\960\2460\960\2960\960\800,480\480\480\480\1980\480\2480\480\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3900\4600\11250\0\0\0\0\0\0,3200\3600\9400\0\0\0\0\0\0,3200\3600\9400\0\0\0\0\0\0,3900\4600\11250\0\0\0\0\0\0,6900\7600\14250\0\0\0\0\0\0,3900\4600\11250\0\0\0\0\0\0,7900\8600\15250\0\0\0\0\0\0,3900\4600\11250\0\0\0\0\0\0,3200\3600\9400\0\0\0\0\0\0,hoteltreetop.com
HOTEL4773,Tigers Roare," Near Entrance Gate, Thekkady, Kumily, Kerala 685536,Phone:04869 224 999",54,3*,Imperial Deluxe\Elite Honeymoon Deluxe\Royal Deluxe\Presidential Deluxe,640\640\640\640\640\640\640\640\640,600\640\640\640\640\640\1\640\640,700\750\750\750\750\750\1950\750\750,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4000\5000\6000\7000\0\0\0\0\0,3500\4500\5500\6500\0\0\0\0\0,3500\4500\5500\6500\0\0\0\0\0,4000\5000\6000\7000\0\0\0\0\0,4000\5000\6000\7000\0\0\0\0\0,4000\5000\6000\7000\0\0\0\0\0,6400\7400\8400\9400\0\0\0\0\0,4000\5000\6000\7000\0\0\0\0\0,3500\4500\5500\6500\0\0\0\0\0,www.tigersroarperiyar.com
HOTEL4774,Abad Green Forest,"Opposite RC Church, Thekkady Junction, Kumaly, Kerala 685509, Phone:0484 238 1122",54,3*,Jungle Lodge\Jungle Cottage,450\450\450\450\450\450\450\450\450,450\450\450\450\1\450\1\450\450,750\750\750\750\2000\750\2250\750\750,250\250\250\250\1250\250\1500\250\250,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3800\4300\0\0\0\0\0\0\0,3800\4300\0\0\0\0\0\0\0,3800\4300\0\0\0\0\0\0\0,4800\5300\0\0\0\0\0\0\0,6800\7300\0\0\0\0\0\0\0,4800\5300\0\0\0\0\0\0\0,7300\7800\0\0\0\0\0\0\0,4800\5300\0\0\0\0\0\0\0,3800\4300\0\0\0\0\0\0\0,www.abadhotels.com/thekkady
HOTEL4777,Sandra Palace,"Opposite Lourde Church , Lake Road, Thekkady, Kerala 685509, Phone:04869 224 561",54,2* ,Deluxe\Superior\Luxury,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,700\700\700\700\700\700\700\700\700,350\350\350\350\350\350\350\350\350,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2700\3200\3700\0\0\0\0\0\0,2200\2700\3200\0\0\0\0\0\0,2200\2700\3200\0\0\0\0\0\0,3200\3700\4200\0\0\0\0\0\0,3200\3700\4200\0\0\0\0\0\0,3200\3700\4200\0\0\0\0\0\0,3200\3700\4200\0\0\0\0\0\0,3200\3700\4200\0\0\0\0\0\0,2200\2700\3200\0\0\0\0\0\0,www.hotelsandrapalace.com
HOTEL4778,Blooming Paradise,"Kumily Thekkady Rd, Thekkady, Kumily, Kerala 685509, Phone:04869 222 687",54,2* ,Standard\Deluxe\Superior\AC Deluxe,250\250\250\250\250\250\250\250\250,250\250\250\250\250\250\250\250\250,500\500\500\500\500\500\500\500\500,250\250\250\250\250\250\250\250\250,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2400\2500\2800\3100\0\0\0\0\0,1800\1900\2200\2500\0\0\0\0\0,1800\1900\2200\2500\0\0\0\0\0,2400\2500\2800\3100\0\0\0\0\0,2400\2500\2800\3100\0\0\0\0\0,2400\2500\2800\3100\0\0\0\0\0,2400\2500\2800\3100\0\0\0\0\0,2400\2500\2800\3100\0\0\0\0\0,1800\1900\2200\2500\0\0\0\0\0,www.bloomingparadise.in
HOTEL4779,Thekkady Woods,"Anavachal Road, Thekkady, Kerala, Phone:097477 74905",54,2* ,Deluxe\Premium\Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,700\700\700\700\700\700\700\700\700,350\350\350\350\350\350\350\350\350,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2799\3399\4199\0\0\0\0\0\0,2299\2899\3699\0\0\0\0\0\0,2299\2899\3699\0\0\0\0\0\0,2999\3599\4339\0\0\0\0\0\0,2999\3599\4339\0\0\0\0\0\0,2999\3599\4339\0\0\0\0\0\0,2999\3599\4339\0\0\0\0\0\0,2999\3599\4339\0\0\0\0\0\0,2299\2899\3699\0\0\0\0\0\0,thekkadywoods.com
HOTEL4780,Silvercrest Thekkady,"Thekkady Road Kumily, Thekkadi, Kerala 685509, Phone:04869 222 481 ",54,2* ,Standard,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3200\0\0\0\0\0\0\0\0,3200\0\0\0\0\0\0\0\0,3200\0\0\0\0\0\0\0\0,3700\0\0\0\0\0\0\0\0,3700\0\0\0\0\0\0\0\0,3700\0\0\0\0\0\0\0\0,3700\0\0\0\0\0\0\0\0,3700\0\0\0\0\0\0\0\0,3200\0\0\0\0\0\0\0\0,www.sealordhotels.com/silver_crest.html
HOTEL4781,Carmelia Haven ,"Vandanmedu, Idukki Dst, Thekkady, Kerala - 685 51, Ph. No: 04868 - 270 - 252",54,4*,Deluxe\ Deluxe Cottage\ Cave Room \ Jaccuzzi Villa \ Treehouse,600\600\600\600\600\600\600\600\600,600\600\600\600\1\600\1\600\600,2000\2000\2000\2000\4000\2000\5000\2000\2000,1500\1500\1500\1500\3500\1500\4500\1500\1500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4400\6100\6100\9100\11500\0\0\0\0,4400\6100\6100\9100\11500\0\0\0\0,4400\6100\6100\9100\11500\0\0\0\0,5600\8000\8000\11500\14300\0\0\0\0,9600\12000\12000\15500\18300\0\0\0\0,5600\8000\8000\11500\14300\0\0\0\0,11600\14000\14000\17500\20300\0\0\0\0,5600\8000\8000\11500\14300\0\0\0\0,4400\6100\6100\9100\11500\0\0\0\0,www.carmeliahaven.com
HOTEL4783,Season Thekkady,"Munnar Road, Thekkady, Ph. No: 04869224847",54,3*,Classic\Classic Executive\Season Suite,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,650\650\650\650\650\650\650\650\650,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2800\3300\3800\0\0\0\0\0\0,2300\2800\3300\0\0\0\0\0\0,2300\2800\3300\0\0\0\0\0\0,2800\3300\3800\0\0\0\0\0\0,2800\3300\3800\0\0\0\0\0\0,2800\3300\3800\0\0\0\0\0\0,2800\3300\3800\0\0\0\0\0\0,2800\3300\3800\0\0\0\0\0\0,2300\2800\3300\0\0\0\0\0\0,www.seasonsthekkady.com
HOTEL4785,Kumarakom Lake Resort,"Kumarakom North Post, Kottayam, Kerala 686563, Phone:0481 252 4900",51,5*,Luxury Pavilion Room\Meandering Pool Villa\Heritage Villa with Private Pool\Meandering Pool Duplex Villa\Heritage Lake View Villa with Private Pool\Presidential Suite with Private Pool,1800\1800\1800\2000\2000\2000\2000\2000\1800,1800\1800\1800\2000\2000\2000\2000\2000\1800,5000\5000\5000\7000\14500\7000\14500\7000\5000,5000\5000\5000\7000\14500\7000\14500\7000\5000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,18750\18750\19750\21750\21750\55000\0\0\0,18750\18750\19750\21750\21750\55000\0\0\0,18750\18750\19750\21750\21750\55000\0\0\0,33750\33750\34750\35750\35750\72000\0\0\0,48750\48750\49750\50750\50750\87000\0\0\0,33750\33750\34750\35750\35750\72000\0\0\0,48750\48750\49750\50750\50750\87000\0\0\0,33750\33750\34750\35750\35750\72000\0\0\0,19750\19750\20750\22750\22750\28000\0\0\0,www.kumarakomresort.com
HOTEL4787,Lake Song," Ammankari Road, Kumarakom, Kerala 686563, Phone:094460 01498",51,4* ,Punnamada\Ashtamudi\Vembanadu,500\650\650\650\650\650\650\650\650,650\650\650\650\1\650\1\650\650,1800\1800\1800\2500\4500\2500\6000\2500\1800,1500\1500\1500\1900\3900\1900\5400\1900\1500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5900\6980\8100\0\0\0\0\0\0,5900\6980\8100\0\0\0\0\0\0,5900\6980\8100\0\0\0\0\0\0,7300\8400\9500\0\0\0\0\0\0,11300\12400\13500\0\0\0\0\0\0,7300\8400\9500\0\0\0\0\0\0,14300\15400\16500\0\0\0\0\0\0,7300\8400\9500\0\0\0\0\0\0,5900\6980\8100\0\0\0\0\0\0,lakesong-kumarakom.onetime.com
HOTEL4788,Cocobay Resort,"Kumarakom North, Kottayam, Kerala 686566, Phone:0481 252 3200",51,4* ,Suite\Family Suite,550\550\550\550\550\550\550\550\550,550\550\550\550\550\550\550\550\550,905\1209\1504\1504\1504\1504\1504\1504\1209,1209\1209\1504\1504\1504\1504\1504\1504\1209,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4928\7218\0\0\0\0\0\0\0,4928\7218\0\0\0\0\0\0\0,4928\7218\0\0\0\0\0\0\0,6500\8903\0\0\0\0\0\0\0,6500\8903\0\0\0\0\0\0\0,6500\8903\0\0\0\0\0\0\0,6500\8903\0\0\0\0\0\0\0,6500\8903\0\0\0\0\0\0\0,4928\7218\0\0\0\0\0\0\0,www.cocobayresort.net
HOTEL4789,Abad Whispering Palms,"New Nazarath Road, Konchumada, Kumarakom, Kerala 686563, Phone:0481 252 3824",51,4* ,Garden View\Lake View,600\600\600\600\600\600\600\600\600,500\600\600\600\1\600\1\600\600,1000\1000\1000\1000\2000\1000\2250\1000\1000,250\250\250\250\1250\250\1500\250\250,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4800\5800\0\0\0\0\0\0\0,4800\5800\0\0\0\0\0\0\0,4800\5800\0\0\0\0\0\0\0,5800\6800\0\0\0\0\0\0\0,7800\8800\0\0\0\0\0\0\0,5800\6800\0\0\0\0\0\0\0,8300\9300\0\0\0\0\0\0\0,5800\6800\0\0\0\0\0\0\0,4800\5800\0\0\0\0\0\0\0,www.whisperingpalms.chobs.in
HOTEL4790,Royal Rivera,"Cheepunkal, Kavanattinkara, Kumarakom, Kerala 686563, Phone:0481 252 6702",51,3*,Deluxe\Exicutive Suite,400\400\400\400\400\400\400\400\400,350\400\400\400\400\400\1\400\400,750\750\750\1000\1000\1000\1800\1000\750,250\250\250\250\250\250\1050\250\250,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3300\4000\0\0\0\0\0\0\0,3300\4000\0\0\0\0\0\0\0,3300\4000\0\0\0\0\0\0\0,4000\4500\0\0\0\0\0\0\0,5600\6100\0\0\0\0\0\0\0,4000\4500\0\0\0\0\0\0\0,5600\6100\0\0\0\0\0\0\0,4000\4500\0\0\0\0\0\0\0,3300\4000\0\0\0\0\0\0\0,www.royal-riviera.com
HOTEL4792,Rudra Houseboat,"Chipunkal Bridge, 686563 Kumarakom, India",51,Houseboat,01 Bed Room - Deluxe\02 Bed Room - Deluxe\03Bed Room - Deluxe,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1000\1000\1000\1500\2000\1500\2500\1500\1000,500\500\500\1000\1250\1000\1500\1000\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,8000\10500\14500\0\0\0\0\0\0,8000\10500\14500\0\0\0\0\0\0,8000\10500\14500\0\0\0\0\0\0,9500\15500\23000\0\0\0\0\0\0,10500\16500\24000\0\0\0\0\0\0,9500\15500\23000\0\0\0\0\0\0,11500\17500\25000\0\0\0\0\0\0,9500\15500\23000\0\0\0\0\0\0,8000\10500\14500\0\0\0\0\0\0,rudrahouseboats.com
HOTEL4793,Rudra Houseboat,"Chipunkal Bridge, 686563 Kumarakom, India",51,Houseboat,01 Bed Room - Premium\02 Bed Room -  Premium\03Bed Room - Premium,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1500\1500\1500\2000\2500\2000\3000\2000\1500,750\750\750\1000\1250\1000\1500\1000\750,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,9500\13000\18500\0\0\0\0\0\0,9500\13000\18500\0\0\0\0\0\0,9500\13000\18500\0\0\0\0\0\0,11000\18000\26000\0\0\0\0\0\0,12000\19000\27000\0\0\0\0\0\0,11000\18000\26000\0\0\0\0\0\0,13000\20000\28000\0\0\0\0\0\0,11000\18000\26000\0\0\0\0\0\0,9500\13000\18500\0\0\0\0\0\0,rudrahouseboats.com
HOTEL4794,Lake Residency,"Near Nava Nazareth Church, Kumarakom South Post, Kottayam, Kerala 686563, Phone:094955 62800",51,2* ,Deluxe\Super Deluxe\Suite ,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,500\500\500\500\500\500\500\500\500,200\200\200\200\200\200\200\200\200,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1600\2000\2400\0\0\0\0\0\0,2000\2500\3000\0\0\0\0\0\0,2000\2500\3000\0\0\0\0\0\0,2000\2500\3000\0\0\0\0\0\0,2000\2500\3000\0\0\0\0\0\0,2000\2500\3000\0\0\0\0\0\0,2000\2500\3000\0\0\0\0\0\0,2000\2500\3000\0\0\0\0\0\0,2000\2500\3000\0\0\0\0\0\0,www.hotellakeresidency.com
HOTEL4795,Lake Palace Resort,"Thirumala Ward, Chungam, Alappuzha, Kerala 688011, Phone:0477 223 9701",44,5*,Kerala Cottage\Lake View Deluxe\Water Villa\Lake View Deluxe Suite \ Lake View Premium\Lake View Premium Suite,950\950\950\950\950\950\950\950\950,900\950\950\950\1\950\1\950\950,1500\2000\2000\2000\4500\2000\8000\2000\2000,1000\1000\1000\1000\3500\1000\7000\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,7000\8000\9000\12000\12500\15000\0\0\0,7000\8000\9000\12000\12500\15000\0\0\0,7000\8000\9000\12000\12500\15000\0\0\0,7000\8000\9000\12000\12500\15000\0\0\0,12000\13000\14000\17000\17500\20000\0\0\0,7000\8000\9000\12000\12500\15000\0\0\0,19000\20000\21000\24000\24500\27000\0\0\0,7000\8000\9000\12000\12500\15000\0\0\0,7000\8000\9000\12000\12500\15000\0\0\0,www.lakepalaceresorts.com
HOTEL4796,Lake Palace Premium House Boat,"Thirumala Ward, Chungam, Alappuzha, Kerala 688011, Phone:0477 223 9701",44,5*,Rajdhani - Single\Rajdhani - Double,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1900\1900\1900\1900\1900\1900\1900\1900\1900,900\900\900\900\900\900\900\900\900,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,20000\25000\0\0\0\0\0\0\0,20000\25000\0\0\0\0\0\0\0,20000\25000\0\0\0\0\0\0\0,25000\30000\0\0\0\0\0\0\0,25000\30000\0\0\0\0\0\0\0,25000\30000\0\0\0\0\0\0\0,25000\30000\0\0\0\0\0\0\0,25000\30000\0\0\0\0\0\0\0,20000\25000\0\0\0\0\0\0\0,www.houseboatsatalleppey.com
HOTEL4797,Ramada," Nehru Trophy Finishing Point, Alappuzha, Kerala 688013,Phone:0477 224 0001",44,4* ,Superior\Premier\Junior Suite\Royal Suite\President Suite,600\600\600\600\600\600\600\600\600,600\600\600\600\1\600\1\600\600,1500\1500\1500\2500\5000\2500\7000\2500\1500,400\400\400\1000\3500\1000\5500\1000\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6000\7000\14000\16000\40000\0\0\0\0,6000\7000\14000\16000\40000\0\0\0\0,6000\7000\14000\16000\40000\0\0\0\0,8000\9500\17500\20000\50000\0\0\0\0,13000\14500\22500\25000\55000\0\0\0\0,8000\9500\17500\20000\50000\0\0\0\0,17000\18500\26500\29000\59000\0\0\0\0,8000\9500\17500\20000\50000\0\0\0\0,6000\7000\14000\16000\40000\0\0\0\0,www.ramada.com
HOTEL4798,The World Backwaters,"Kannankara-Thaneermukkom Road, Kannankara Post, Thanneermukkom, Alappuzhaa, Kerala 688527, Phone:0478 258 3939",44,4* ,Stream Villa \Lake View room\Lake View Cottage\Executive Villa with Pvt. Pool\Presidential Suite with Pvt. Pool (2 B/R)        ,550\550\550\550\550\550\550\550\550,500\550\550\550\1\550\1\550\550,900\900\900\900\2400\900\3400\900\900,400\500\500\500\2000\500\3000\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4300\4700\5600\8000\12000\0\0\0\0,4300\4700\5600\8000\12000\0\0\0\0,4300\4700\5600\8000\12000\0\0\0\0,5300\5700\6600\9000\13000\0\0\0\0,8300\8700\9600\12000\16000\0\0\0\0,5300\5700\6600\9000\13000\0\0\0\0,10300\10700\11600\14000\18000\0\0\0\0,5300\5700\6600\9000\13000\0\0\0\0,4300\4700\5600\8000\12000\0\0\0\0,www.theworldhotels.in
HOTEL4799,Panoramic Resort,"Near Kadalpalam, Beach Road, Alappuzha, Kerala 688012, Phone:022 6184 1444",44,3*,Garden View\Sea View,350\350\350\350\350\350\350\350\350,350\350\350\350\1\350\1\350\350,800\800\800\800\1550\800\1800\800\800,350\350\350\350\1100\350\1350\350\350,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3300\3500\0\0\0\0\0\0\0,3300\3500\0\0\0\0\0\0\0,3300\3500\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0,5000\5500\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0,5500\6000\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0,3000\3500\0\0\0\0\0\0\0,www.panoramicsearesort.biz
HOTEL4800,Arcadia Regency,"Mullakkal, Alappuzha, Kerala 688001, Phone:0477 223 0414",44,3*,Deluxe\Luxury\Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,600\600\600\600\600\600\600\600\600,250\250\250\250\250\250\250\250\250,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2200\2500\4000\0\0\0\0\0\0,2200\2500\4000\0\0\0\0\0\0,2200\2500\4000\0\0\0\0\0\0,2700\3000\4700\0\0\0\0\0\0,2700\3000\4700\0\0\0\0\0\0,2700\3000\4700\0\0\0\0\0\0,2700\3000\4700\0\0\0\0\0\0,2700\3000\4700\0\0\0\0\0\0,2200\2500\4000\0\0\0\0\0\0,www.arcadiaregency.com
HOTEL4801,Pagoda Resort," Near Kallupalam, Chungam Road, Alappuzha, Kerala 688011, Phone:0477 225 2549",44,3*,Deluxe\Deluxe Superior\Cottage\Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\1\400\400,750\750\750\750\750\750\1950\750\750,400\400\400\400\400\400\1600\400\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2425\2700\3050\3800\0\0\0\0\0,2425\2700\3050\3800\0\0\0\0\0,2425\2700\3050\3800\0\0\0\0\0,2925\3200\3550\4300\0\0\0\0\0,2925\3200\3550\4300\0\0\0\0\0,2925\3200\3550\4300\0\0\0\0\0,5325\5600\5950\6700\0\0\0\0\0,2925\3200\3550\4300\0\0\0\0\0,2425\2700\3050\3800\0\0\0\0\0,www.pagodaresorts.com
HOTEL4804,Hotel Raiban,"Near Medical College Hospital, Alleppey, Alappuzha (Alleppey), Kerala, Phone:092434 01510",44,2* ,Standard Non AC\Deluxe Non AC\Standard AC\Deluxe AC,150\150\150\150\150\150\150\150\150,175\150\150\150\150\150\150\150\150,375\375\375\375\375\375\375\375\375,375\375\375\375\375\375\375\375\375,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,950\1150\1650\2150\0\0\0\0\0,950\1150\1650\2150\0\0\0\0\0,950\1150\1650\2150\0\0\0\0\0,950\1150\1650\2150\0\0\0\0\0,950\1150\1650\2150\0\0\0\0\0,950\1150\1650\2150\0\0\0\0\0,950\1150\1650\2150\0\0\0\0\0,950\1150\1650\2150\0\0\0\0\0,950\1150\1650\2150\0\0\0\0\0,www.hotelraiban.com
HOTEL4805,Hotel Picasso Castle,"Thondankulangara Junction, Thondankulangara - Punnamada Rd, Thondankulangara, Thathampally, Alappuzha (Alleppey), Kerala 688013, Phone:0477 645 2525",44,2* ,Standard AC\Deluxe AC\Super Deluxe AC\Suite AC,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,250\250\300\300\300\300\300\300\300,150\150\150\150\150\150\150\150\150,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1900\2100\2200\2600\0\0\0\0\0,1900\2100\2200\2600\0\0\0\0\0,1900\2100\2200\2600\0\0\0\0\0,1900\2100\2200\2600\0\0\0\0\0,1900\2100\2200\2600\0\0\0\0\0,1900\2100\2200\2600\0\0\0\0\0,1900\2100\2200\2600\0\0\0\0\0,1900\2100\2200\2600\0\0\0\0\0,1800\2000\2100\2500\0\0\0\0\0,www.picassocastle.com
HOTEL4806,Hotel Picasso Castle,"Thondankulangara Junction, Thondankulangara - Punnamada Rd, Thondankulangara, Thathampally, Alappuzha (Alleppey), Kerala 688013, Phone:0477 645 2525",44,2* ,Standard Non AC\Deluxe Non AC\ Super Deluxe Non AC\ Suite Non AC,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,300\300\300\300\300\300\300\300\300,150\150\150\150\150\150\150\150\150,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1500\1600\1800\2300\0\0\0\0\0,1500\1600\1800\2300\0\0\0\0\0,1500\1600\1800\2300\0\0\0\0\0,1500\1600\1800\2300\0\0\0\0\0,1500\1600\1800\2300\0\0\0\0\0,1500\1600\1800\2300\0\0\0\0\0,1500\1600\1800\2300\0\0\0\0\0,1500\1600\1800\2300\0\0\0\0\0,1500\1600\1800\2300\0\0\0\0\0,www.picassocastle.com
